League;Season;Date;Home;Away;FT_Goals_H;FT_Goals_A;FT_Odd_H;FT_Odd_D;FT_Odd_A;FT_Odd_Over25;FT_Result;Profit_Back_H;Profit_Back_D;Profit_Back_A;Profit_Lay_H;Profit_Lay_D;Profit_Lay_A;p_H;p_D;p_A;p_Over;p_H__p_D;p_H__p_A;p_D__p_A;p_D__p_Over;Media_SG_H;Media_SG_A;DesvPad_SG_H;DesvPad_SG_A;CV_SG_H;CV_SG_A;Media_Ptos_H;Media_Ptos_A;DesvPad_Ptos_H;DesvPad_Ptos_A;CV_Ptos_H;CV_Ptos_A;Media_VG_H;Media_VG_A;DesvPad_VG_H;DesvPad_VG_A;CV_VG_H;CV_VG_A;Media_CG_H;Media_CG_A;DesvPad_CG_H;DesvPad_CG_A;CV_CG_H;CV_CG_A;CV_HDA;CV_HD;CV_HA;CV_DA;CV_DO;Media_Odd_H;DesvPad_Odd_H;CV_Odd_H;Media_Odd_A;DesvPad_Odd_A;CV_Odd_A;FT_Odd_HA_DNB_H;FT_Odd_HA_DNB_A;Profit_HA_0_H;Profit_HA_0_A
BRAZIL - SERIE B;2022;30/07/2022;Brusque;Cruzeiro;0;0;2,95;2,85;2,48;2,75;D;-1;1,85;-1;0,44;-1;0,57;0,339;0,3509;0,4032;0,3636;0,9661;0,8407;0,8702;0,9649;0,4;0,1;1,4298;1,1972;3,5746;11,9722;1,7;1,5;1,4181;1,354;0,8342;0,9027;0,2752;0,2697;0,2237;0,221;0,8129;0,8195;0,3686;0,3881;0,1342;0,1172;0,3641;0,3019;0,0766;0,0172;0,0866;0,0694;0,0179;2,26;0,6273;0,2776;2,36;0,4707;0,1994;2,06;1,72;0;0
ARGENTINA - LIGA PROFESIONAL;2022;24/07/2022;Independiente;Atl. Tucuman;0;1;2,87;2,87;2,8;2,87;A;-1;-1;1,84;0,46;0,46;-1;0,3484;0,3484;0,3571;0,3484;1;0,9756;0,9756;1;0,5;-1,1;1,2693;1,6633;2,5386;-1,5121;1,9;0,9;1,1972;1,1972;0,6301;1,3302;0,3023;0,2162;0,1761;0,2362;0,5823;1,0927;0,4173;0,3222;0,1489;0,0742;0,3569;0,2303;0,0117;0;0,0123;0,0123;0;2,137;0,6072;0,2841;4,547;2,0294;0,4463;1,98;1,88;-1;0,88
BRAZIL - SERIE B;2022;20/07/2022;CSA;Cruzeiro;1;1;2,45;2,88;2,88;2,75;D;-1;1,88;-1;0,58;-1;0,46;0,4082;0,3472;0,3472;0,3636;1,1755;1,1755;1;0,9549;0,5;0,1;1,354;1,1972;2,708;11,9722;1,5;1,5;1,0801;1,354;0,7201;0,9027;0,23;0,2542;0,1783;0,2156;0,7753;0,8482;0,3921;0,4141;0,1446;0,1264;0,3687;0,3052;0,0782;0,0807;0,0807;0;0,0231;2,013;0,5118;0,2543;2,261;0,4529;0,2003;1,73;2,05;0;0
BRAZIL - SERIE C;2022;04/07/2022;Aparecidense;ABC;2;2;2,5;2,8;2,9;2,48;D;-1;1,8;-1;0,57;-1;0,45;0,4;0,3571;0,3448;0,4032;1,12;1,16;1,0357;0,8857;0,5;-0,2;1,0801;1,2293;2,1602;-6,1464;1,8;1,1;1,3166;1,1005;0,7314;1,0005;0,4378;0,3661;0,4128;0,446;0,9428;1,2184;0,3541;0,343;0,1762;0,178;0,4975;0,5191;0,0644;0,0566;0,0741;0,0175;0,0606;2,2;0,3648;0,1658;2,88;0,5789;0,201;1,76;2,11;0;0
VENEZUELA - PRIMERA DIVISION;2022;03/07/2022;Puerto Cabello;Zamora;0;0;2,75;2,85;2,45;2,05;D;-1;1,85;-1;0,49;-1;0,58;0,3636;0,3509;0,4082;0,4878;1,0364;0,8909;0,8596;0,7193;-0,3;0,6;1,0593;0,8433;-3,5312;1,4055;1,1;1,8;1,1005;1,0328;1,0005;0,5738;0,3129;0,5183;0,3324;0,1481;1,0624;0,2858;0,3319;0,3092;0,1408;0,0971;0,4241;0,3141;0,0656;0,0179;0,0577;0,0755;0,1633;2,585;0,4516;0,1747;2,861;0,8614;0,3011;2,21;1,7;0;0
BRAZIL - SERIE D;2022;25/06/2022;Real Noroeste;Inter de Limeira;2;2;2,45;2,8;2,9;2,5;D;-1;1,8;-1;0,58;-1;0,45;0,4082;0,3571;0,3448;0,4;1,1429;1,1837;1,0357;0,8929;0,6;0,3;1,075;0,6749;1,7916;2,2498;1,9;1,7;1,1972;1,1595;0,6301;0,6821;0,3911;0,4675;0,3544;0,198;0,9061;0,4236;0,3822;0,2642;0,2129;0,055;0,557;0,2081;0,0741;0,0667;0,0841;0,0175;0,0566;2,2089;0,9073;0,4108;3,139;0,9418;0,3;1,74;2,09;0;0
BRAZIL - SERIE C;2022;18/06/2022;Aparecidense;Paysandu PA;1;0;2,75;2,85;2,55;2,55;H;1,8;-1;-1;-1;0,46;0,55;0,3636;0,3509;0,3922;0,3922;1,0364;0,9273;0,8947;0,8947;0,5;-0,7;1,0801;1,567;2,1602;-2,2386;1,8;1;1,3166;1,1547;0,7314;1,1547;0,4367;0,5083;0,4129;0,434;0,9455;0,8537;0,3477;0,2192;0,1767;0,0786;0,5082;0,3586;0,0468;0,0179;0,0377;0,0556;0,0556;2,085;0,3532;0,1694;3,545;0,5737;0,1618;2,03;1,82;1,03;-1
URUGUAY - PRIMERA DIVISION;2022;06/06/2022;Wanderers;Boston River;1;2;2,62;2,87;2,75;2,15;A;-1;-1;1,8;0,53;0,46;-1;0,3817;0,3484;0,3636;0,4651;1,0954;1,0496;0,9582;0,7491;0,4;0,5;1,1738;0,8498;2,9345;1,6997;1,6;1,9;1,2649;1,1972;0,7906;0,6301;0,4097;0,5105;0,3498;0,4593;0,8537;0,8997;0,3739;0,2283;0,1548;0,1191;0,414;0,5216;0,0373;0,0455;0,0242;0,0214;0,1434;2,337;0,5779;0,2473;3,3178;1,0198;0,3074;1,88;1,98;-1;0,98
BRAZIL - SERIE C;2022;29/05/2022;Botafogo SP;Mirassol;2;2;2,62;2,87;2,6;2,33;D;-1;1,87;-1;0,53;-1;0,53;0,3817;0,3484;0,3846;0,4292;1,0954;0,9924;0,9059;0,8118;0,2;-0,5;1,6193;1,5092;8,0966;-3,0185;1,8;1;1,5492;1,4142;0,8607;1,4142;0,453;0,3059;0,2851;0,2514;0,6293;0,8218;0,3345;0,3691;0,1455;0,1016;0,4349;0,2753;0,0442;0,0455;0,0038;0,0494;0,1038;2,264;0,3478;0,1536;3,135;1,138;0,363;1,93;1,92;0;0
USA - USL CHAMPIONSHIP;2022;28/05/2022;Oakland Roots;Sacramento Republic;1;1;2,7;2,85;2,55;2,08;D;-1;1,85;-1;0,5;-1;0,55;0,3704;0,3509;0,3922;0,4808;1,0556;0,9444;0,8947;0,7298;0,1;-0,6;1,5951;1,075;15,9513;-1,7916;1,5;0,8;1,354;1,2293;0,9027;1,5366;0,4178;0,3058;0,4022;0,2407;0,9626;0,787;0,3309;0,3596;0,1945;0,1121;0,5879;0,3116;0,0454;0,027;0,0286;0,0556;0,1562;2,283;0,707;0,3097;3,266;1,2593;0,3856;2,01;1,81;0;0
BOSNIA AND HERZEGOVINA - PREMIER LEAGUE;2021/2022;18/05/2022;Siroki Brijeg;Tuzla City;0;1;2,53;2,88;2,86;2,32;A;-1;-1;1,9;0,56;0,46;-1;0,3953;0,3472;0,3497;0,431;1,1383;1,1304;0,9931;0,8056;0,2;-0,5;1,6865;1,7795;8,4327;-3,559;1,8;1,2;1,3166;1,3166;0,7314;1,0971;0,4087;0,3637;0,4276;0,2588;1,0462;0,7117;0,4046;0,3496;0,2197;0,1116;0,5429;0,3191;0,0607;0,0647;0,0612;0,0035;0,1077;2,029;0,5512;0,2717;3,383;1,4919;0,441;1,8;2,01;-1;1,01
FRANCE - NATIONAL;2021/2022;13/05/2022;Red Star;Concarneau;5;1;2,8;2,85;2,48;1,98;H;1,84;-1;-1;-1;0,46;0,57;0,3571;0,3509;0,4032;0,5051;1,0179;0,8857;0,8702;0,6947;0,2;0,4;1,8738;0,9661;9,369;2,4152;1,4;1,5;1,4298;1,0801;1,0213;0,7201;0,4039;0,3843;0,3585;0,309;0,8875;0,8041;0,3639;0,3605;0,1898;0,1613;0,5215;0,4475;0,063;0,0088;0,0606;0,0694;0,1801;1,878;0,3836;0,2042;2,155;0,5237;0,243;2;1,76;1;-1
POLAND - EKSTRAKLASA;2021/2022;29/04/2022;Warta Poznan;Piast Gliwice;2;3;2,75;2,8;2,7;2,87;A;-1;-1;1,74;0,49;0,47;-1;0,3636;0,3571;0,3704;0,3484;1,0182;0,9818;0,9643;1,025;0;0,4;1,3333;1,075;1;2,6874;1,5;1,6;1,354;1,2649;0,9027;0,7906;0,3793;0,5683;0,3636;0,4708;0,9586;0,8284;0,329;0,1964;0,1586;0,0815;0,482;0,4149;0,0148;0,009;0,0092;0,0182;0,0123;2,632;0,5802;0,2205;3,572;1,5238;0,4266;1,93;1,93;-1;0,93
SPAIN - LALIGA2;2021/2022;24/04/2022;Lugo;Leganes;0;0;2,7;2,8;3;2,4;D;-1;1,8;-1;0,5;-1;0,43;0,3704;0,3571;0,3333;0,4167;1,037;1,1111;1,0714;0,8571;0,4;-0,5;0,6992;2,1213;1,748;-4,2426;1,9;1,1;1,1972;1,3703;0,6301;1,2457;0,3924;0,3979;0,2544;0,4595;0,6483;1,1547;0,3526;0,1786;0,1424;0,0702;0,4039;0,393;0,0433;0,0182;0,0526;0,0345;0,0769;2,507;0,4895;0,1952;3,425;0,7013;0,2048;1,83;2,02;0;0
