League;Season;Date;Home;Away;FT_Goals_H;FT_Goals_A;FT_Odd_H;FT_Odd_D;FT_Odd_A;FT_Odd_Over25;FT_Result;Profit_Back_H;Profit_Back_D;Profit_Back_A;Profit_Lay_H;Profit_Lay_D;Profit_Lay_A;p_H;p_D;p_A;p_Over;p_H__p_D;p_H__p_A;p_D__p_A;p_D__p_Over;Media_SG_H;Media_SG_A;DesvPad_SG_H;DesvPad_SG_A;CV_SG_H;CV_SG_A;Media_Ptos_H;Media_Ptos_A;DesvPad_Ptos_H;DesvPad_Ptos_A;CV_Ptos_H;CV_Ptos_A;Media_VG_H;Media_VG_A;DesvPad_VG_H;DesvPad_VG_A;CV_VG_H;CV_VG_A;Media_CG_H;Media_CG_A;DesvPad_CG_H;DesvPad_CG_A;CV_CG_H;CV_CG_A;CV_HDA;CV_HD;CV_HA;CV_DA;CV_DO;Media_Odd_H;DesvPad_Odd_H;CV_Odd_H;Media_Odd_A;DesvPad_Odd_A;CV_Odd_A;FT_Odd_HA_DNB_H;FT_Odd_HA_DNB_A;Profit_HA_0_H;Profit_HA_0_A
BRAZIL - SERIE B;2020;01/09/2020;Parana;Ponte Preta;2;1;2,87;2,87;2,7;2,7;H;1,91;-1;-1;-1;0,46;0,5;0,3484;0,3484;0,3704;0,3704;1;0,9408;0,9408;0,9408;0,7;-0,3;0,9487;1,4181;1,3553;-4,7271;2,1;1,1;1,1972;1,1005;0,5701;1,0005;0,3947;0,2772;0,3889;0,2757;0,9854;0,9946;0,2985;0,3192;0,1661;0,1507;0,5566;0,472;0,0291;0;0,0305;0,0305;0,0305;2,311;0,5534;0,2394;3,153;1,2559;0,3983;2;1,85;1;-1
FRANCE - NATIONAL;2020/2021;01/09/2020;Red Star;Le Mans;0;0;2,5;2,85;2,8;2,08;D;-1;1,85;-1;0,57;-1;0,47;0,4;0,3509;0,3571;0,4808;1,14;1,12;0,9825;0,7298;0,2;-0,4;1,2293;1,5776;6,1464;-3,9441;1,7;0,9;1,4181;1,1972;0,8342;1,3302;0,412;0,6795;0,3092;0,6343;0,7506;0,9335;0,3768;0,1133;0,145;0,0422;0,3847;0,3722;0,0591;0,0654;0,0566;0,0088;0,1562;2,25;0,3478;0,1546;4,99;2,0684;0,4145;1,78;2;0;0
FRANCE - LIGUE 2;2020/2021;29/08/2020;Nancy;Guingamp;2;2;2,7;2,87;2,9;2,4;D;-1;1,87;-1;0,5;-1;0,45;0,3704;0,3484;0,3448;0,4167;1,063;1,0741;1,0105;0,8362;0,6;0,4;1,2649;2,6331;2,1082;6,5828;1,8;1,4;1,3166;1,4298;0,7314;1,0213;0,2725;0,4846;0,2517;0,5938;0,9238;1,2255;0,3363;0,2597;0,1223;0,176;0,3636;0,6775;0,0318;0,0305;0,0357;0,0052;0,0892;2,217;0,5144;0,232;2,387;0,2961;0,1241;1,9;1,95;0;0
BRAZIL - SERIE C;2020;23/08/2020;Botafogo PB;Santa Cruz;1;2;2,65;2,8;2,8;2,95;A;-1;-1;1,84;0,52;0,47;-1;0,3774;0,3571;0,3571;0,339;1,0566;1,0566;1;1,0536;0,5;-0,9;1,1785;2,079;2,357;-2,31;1,6;0,7;1,2649;0,9487;0,7906;1,3553;0,271;0,4238;0,214;0,4272;0,7896;1,0081;0,4388;0,2234;0,2119;0,1132;0,4829;0,5066;0,0262;0,0275;0,0275;0;0,0261;1,697;0,253;0,1491;6,283;4,0734;0,6483;1,85;2;-1;1
BRAZIL - SERIE C;2020;15/08/2020;Vila Nova FC;Paysandu PA;2;0;2,65;2,8;2,9;2,85;H;1,69;-1;-1;-1;0,47;0,45;0,3774;0,3571;0,3448;0,3509;1,0566;1,0943;1,0357;1,0179;-0,6;0,2;0,9661;1,1353;-1,6102;5,6765;0,7;1,6;0,483;1,2649;0,6901;0,7906;0,2297;0,4964;0,2338;0,4029;1,0177;0,8118;0,3753;0,271;0,1394;0,1234;0,3716;0,4555;0,0373;0,0275;0,045;0,0175;0,0088;2,205;0,4252;0,1928;3,41;1,0322;0,3027;1,88;1,96;0,88;-1
FRANCE - NATIONAL;2022/2023;06/01/2023;Nancy;Martigues;1;2;2,62;2,96;2,96;2,37;A;-1;-1;2;0,53;0,44;-1;0,3817;0,3378;0,3378;0,4219;1,1298;1,1298;1;0,8007;0;0,125;1,2472;0,6409;1;5,127;1,4;1,375;1,4298;1,0607;1,0213;0,7714;0,3305;0,6891;0,2011;0,3273;0,6084;0,475;0,4405;0,2569;0,1602;0,1148;0,3636;0,4467;0,0586;0,0609;0,0609;0;0,1107;1,927;0,2526;0,1311;3,355;0,5648;0,1683;1,85;2;-1;1
ITALY - SERIE B;2022/2023;26/12/2022;Ascoli;Reggina;0;1;3;2,9;2,5;2,5;A;-1;-1;1,54;0,43;0,45;-1;0,3333;0,3448;0,4;0,4;0,9667;0,8333;0,8621;0,8621;-0,3;0;0,9487;1,6997;-3,1623;1;1;1,6;1,1547;1,5055;1,1547;0,941;0,3339;0,4485;0,3524;0,5214;1,0555;1,1625;0,3074;0,2361;0,1431;0,1058;0,4655;0,4483;0,081;0,0169;0,0909;0,0741;0,0741;2,702;0,727;0,269;4,335;3,7643;0,8683;2,15;1,73;-1;0,73
ISRAEL - LIGAT HA'AL;2022/2023;08/11/2022;Sakhnin;SC Ashdod;1;1;2,55;2,9;2,9;2,02;D;-1;1,9;-1;0,55;-1;0,45;0,3922;0,3448;0,3448;0,495;1,1373;1,1373;1;0,6966;-0,5;-0,7;1,5811;1,4944;-3,1623;-2,1349;1;1,1;1,1547;1,3703;1,1547;1,2457;0,2357;0,4819;0,2716;0,5142;1,1524;1,067;0,3189;0,2277;0,1519;0,1582;0,4764;0,6947;0,0619;0,0642;0,0642;0;0,1789;3,782;1,6304;0,4311;3,477;2,1621;0,6218;1,85;2;0;0
SPAIN - LALIGA2;2022/2023;07/11/2022;Lugo;FC Cartagena SAD;1;1;2,87;2,9;2,75;2,5;D;-1;1,9;-1;0,46;-1;0,49;0,3484;0,3448;0,3636;0,4;1,0105;0,9582;0,9483;0,8621;-0,3;0;1,3375;1,2472;-4,4583;1;1,1;1,4;1,3703;1,4298;1,2457;1,0213;0,2254;0,5744;0,2171;0,5682;0,9634;0,9893;0,3746;0,1628;0,1182;0,0768;0,3155;0,472;0,0231;0,0052;0,0214;0,0265;0,0741;2,82;0,7017;0,2488;3,68;0,5936;0,1613;1,95;1,9;0;0
SPAIN - LALIGA;2022/2023;31/10/2022;Elche;Getafe;0;1;2,62;2,9;3;3;A;-1;-1;2,04;0,53;0,45;-1;0,3817;0,3448;0,3333;0,3333;1,1069;1,145;1,0345;1,0345;-0,5;-0,6;1,9579;1,8974;-3,9158;-3,1623;0,9;1;1,1972;1,1547;1,3302;1,1547;0,4454;0,5043;0,4272;0,3761;0,9592;0,7459;0,261;0,2141;0,1303;0,1041;0,4992;0,486;0,0584;0,0507;0,0676;0,0169;0,0169;4,319;2,2764;0,5271;4,965;1,691;0,3406;1,85;2,05;-1;1,05
GREECE - SUPER LEAGUE;2022/2023;31/10/2022;Giannina;Asteras Tripolis;2;1;2,75;2,9;2,87;2,7;H;1,8;-1;-1;-1;0,45;0,46;0,3636;0,3448;0,3484;0,3704;1,0545;1,0436;0,9897;0,931;-0,4;-0,5;1,5055;1,5092;-3,7639;-3,0185;1,3;0,8;1,2517;0,9189;0,9628;1,1487;0,4059;0,5258;0,346;0,549;0,8526;1,0441;0,3031;0,1605;0,1726;0,1175;0,5696;0,7324;0,0231;0,0265;0,0214;0,0052;0,0357;3,535;1,7523;0,4957;5,34;3,3965;0,636;1,88;1,98;0,88;-1
BRAZIL - SERIE B;2022;28/10/2022;Tombense;Gremio;2;2;2,63;2,9;2,75;2,33;D;-1;1,9;-1;0,52;-1;0,49;0,3802;0,3448;0,3636;0,4292;1,1027;1,0456;0,9483;0,8034;0,8;-0,3;1,1353;1,567;1,4191;-5,2234;2,1;1;1,1972;1,1547;0,5701;1,1547;0,4203;0,1773;0,3234;0,1993;0,7695;1,1244;0,302;0,3726;0,1181;0,1246;0,391;0,3344;0,0399;0,0488;0,0223;0,0265;0,109;2,603;0,3822;0,1468;2,16;0,4602;0,213;1,84;1,91;0;0
ITALY - SERIE B;2022/2023;24/10/2022;Ascoli;Cagliari;2;1;2,87;2,9;2,62;2,4;H;1,91;-1;-1;-1;0,45;0,53;0,3484;0,3448;0,3817;0,4167;1,0105;0,9129;0,9034;0,8276;0,3;-0,5;1,4944;1,6499;4,9814;-3,2998;1,5;1;1,354;1,1547;0,9027;1,1547;0,3458;0,3218;0,3657;0,4038;1,0575;1,2549;0,3597;0,2493;0,155;0,1094;0,4309;0,4391;0,0463;0,0052;0,0455;0,0507;0,0943;2,17;0,3838;0,1769;3,246;1,1388;0,3508;2;1,85;1;-1
VENEZUELA - PRIMERA DIVISION;2020;01/02/2020;AC Lala FC;Monagas;1;1;2,63;2,99;2,83;2,29;D;-1;1,99;-1;0,52;-1;0,47;0,3802;0,3344;0,3534;0,4367;1,1369;1,076;0,9465;0,7659;-0,6;-0,7;1,5055;1,3375;-2,5092;-1,9107;1;0,7;1,1547;0,9487;1,1547;1,3553;0,2786;0,5491;0,2851;0,3055;1,0234;0,5564;0,3999;0,2843;0,1859;0,1148;0,4648;0,404;0,0528;0,0641;0,0366;0,0275;0,1326;2,677;0,8575;0,3203;3,553;1,2743;0,3587;1,85;2;0;0
ARGENTINA - LIGA PROFESIONAL;2022;10/10/2022;Central Cordoba;Newells Old Boys;0;3;2,8;2,9;2,9;2,7;A;-1;-1;1,94;0,47;0,45;-1;0,3571;0,3448;0,3448;0,3704;1,0357;1,0357;1;0,931;0,1;-0,3;1,912;1,567;19,1195;-5,2234;1,4;1,3;1,4298;1,4944;1,0213;1,1496;0,4654;0,3928;0,3944;0,3908;0,8473;0,9949;0,3049;0,2093;0,1368;0,097;0,4486;0,4634;0,0166;0,0175;0,0175;0;0,0357;2,479;0,4374;0,1764;4,203;1,7128;0,4075;1,85;2;-1;1
ROMANIA - LIGA 1;2022/2023;01/10/2022;Mioveni;U Craiova 1948;2;2;2,8;2,9;2,45;2,6;D;-1;1,9;-1;0,47;-1;0,58;0,3571;0,3448;0,4082;0,3846;1,0357;0,875;0,8448;0,8966;-0,5;0,2;1,5811;1,2293;-3,1623;6,1464;1,1;1,4;1,3703;1,4298;1,2457;1,0213;0,4015;0,5346;0,6414;0,467;1,5974;0,8736;0,238;0,2774;0,1169;0,1054;0,4912;0,3798;0,0741;0,0175;0,0667;0,0841;0,0545;3,54;1,281;0,3619;2,947;1,0237;0,3474;2,02;1,83;0;0
ROMANIA - LIGA 2;2022/2023;18/09/2022;Unirea Slobozia;Poli Iasi;0;0;2,5;2,9;2,7;2,18;D;-1;1,9;-1;0,57;-1;0,5;0,4;0,3448;0,3704;0,4587;1,16;1,08;0,931;0,7517;0,6;-0,3;1,1738;1,4181;1,9563;-4,7271;1,7;1,1;1,1595;1,1005;0,6821;1,0005;0,3698;0,2782;0,4357;0,3212;1,1783;1,1546;0,3039;0,2634;0,1642;0,0851;0,5402;0,3232;0,0606;0,0741;0,0385;0,0357;0,1417;3,361;2,4966;0,7428;3,177;1,2197;0,3839;1,82;1,96;0;0
VENEZUELA - PRIMERA DIVISION;2022;28/08/2022;Aragua;Mineros;3;3;2,6;2,95;2,5;2,14;D;-1;1,95;-1;0,53;-1;0,57;0,3846;0,339;0,4;0,4673;1,1346;0,9615;0,8475;0,7254;-0,5;-0,9;1,0801;1,8529;-2,1602;-2,0588;0,9;0,7;1,1972;0,9487;1,3302;1,3553;0,311;0,3965;0,3176;0,366;1,0211;0,9233;0,316;0,2235;0,1334;0,0581;0,4222;0,2599;0,0692;0,0631;0,0196;0,0826;0,1591;2,838;0,732;0,2579;3,864;0,6123;0,1585;2,03;1,78;0;0
ISRAEL - LIGAT HA'AL;2022/2023;20/08/2022;Hapoel Jerusalem;Hapoel Hadera;1;1;2,45;2,9;2,75;2,3;D;-1;1,9;-1;0,58;-1;0,49;0,4082;0,3448;0,3636;0,4348;1,1837;1,1224;0,9483;0,7931;0;-0,4;1,3333;1,3499;1;-3,3747;1,2;0,9;1,3166;1,1972;1,0971;1,3302;0,3986;0,4846;0,4027;0,6304;1,0103;1,3009;0,2393;0,2463;0,1146;0,1227;0,4788;0,4983;0,0714;0,0841;0,0577;0,0265;0,1154;3,705;1,7022;0,4594;4,73;2,5539;0,5399;1,8;2,05;0;0
URUGUAY - PRIMERA DIVISION;2022;12/08/2022;Plaza Colonia;Cerro Largo;2;0;2,87;2,9;2,5;2,6;H;1,91;-1;-1;-1;0,45;0,57;0,3484;0,3448;0,4;0,3846;1,0105;0,8711;0,8621;0,8966;0;-0,7;1,4907;1,4181;1;-2,0259;1,2;0,8;1,0328;1,2293;0,8607;1,5366;0,2583;0,2486;0,2654;0,271;1,0274;1,09;0,3666;0,2891;0,1351;0,0912;0,3684;0,3156;0,0692;0,0052;0,0689;0,0741;0,0545;2,894;1,1448;0,3956;3,267;0,9933;0,304;2,05;1,8;1,05;-1
BRAZIL - SERIE C;2022;30/07/2022;Manaus;Botafogo PB;0;0;2,48;2,94;3,01;2,44;D;-1;1,94;-1;0,57;-1;0,43;0,4032;0,3401;0,3322;0,4098;1,1855;1,2137;1,0238;0,8299;0,2;-0,2;0,9189;1,0328;4,5947;-5,164;1,4;1,2;1,1738;1,3166;0,8384;1,0971;0,2948;0,3335;0,2592;0,3313;0,8793;0,9934;0,4237;0,2574;0,1342;0,064;0,3167;0,2486;0,0886;0,0849;0,0965;0,0118;0,0929;2,116;0,219;0,1035;3,517;0,431;0,1226;1,76;2,12;0;0
URUGUAY - PRIMERA DIVISION;2022;27/06/2022;Wanderers;Montevideo City;1;0;2,55;2,9;2,75;2,05;H;1,59;-1;-1;-1;0,45;0,49;0,3922;0,3448;0,3636;0,4878;1,1373;1,0784;0,9483;0,7069;0,4;0;1,1738;1,4142;2,9345;1;1,6;1,3;1,2649;1,2517;0,7906;0,9628;0,4122;0,5151;0,3496;0,3723;0,8482;0,7228;0,3612;0,3165;0,1532;0,1436;0,4243;0,4537;0,053;0,0642;0,0377;0,0265;0,1717;2,407;0,6142;0,2552;2,7389;1,0285;0,3755;1,8;2;0,8;-1
BRAZIL - SERIE D;2022;04/06/2022;Bahia de Feira;Real Noroeste;2;2;2,65;2,95;2,5;2,23;D;-1;1,95;-1;0,52;-1;0,57;0,3774;0,339;0,4;0,4484;1,1132;0,9434;0,8475;0,7559;0,2;-0,6;1,8135;1,4298;9,0676;-2,3831;1;0,8;1,1547;1,2293;1,1547;1,5366;0,223;0,5122;0,2306;0,5977;1,0343;1,167;0,4187;0,2334;0,1603;0,1711;0,3829;0,7329;0,0677;0,0536;0,0291;0,0826;0,139;2,177;0,8048;0,3697;3,994;2,0263;0,5073;1,92;1,88;0;0
URUGUAY - PRIMERA DIVISION;2022;21/05/2022;Rentistas;Cerro Largo;2;0;2,45;2,9;2,87;2,5;H;1,5;-1;-1;-1;0,45;0,46;0,4082;0,3448;0,3484;0,4;1,1837;1,1714;0,9897;0,8621;-0,8;-0,8;1,6193;1,2293;-2,0242;-1,5366;0,7;0,7;1,2517;0,9487;1,7881;1,3553;0,3408;0,3853;0,3512;0,4597;1,0304;1,193;0,3077;0,3213;0,1166;0,1938;0,379;0,6031;0,0791;0,0841;0,0789;0,0052;0,0741;3,44;1,7657;0,5133;3,209;1,1527;0,3592;1,75;2,13;0,75;-1
SCOTLAND - PREMIERSHIP;2021/2022;13/05/2022;Arbroath;Inverness;0;1;2,8;2,9;2,75;2,7;A;-1;-1;1,8;0,47;0,45;-1;0,3571;0,3448;0,3636;0,3704;1,0357;0,9821;0,9483;0,931;1,1;0;1,3703;0,8165;1,2457;1;2,2;1,3;1,0328;1,2517;0,4695;0,9628;0,4558;0,398;0,2617;0,3733;0,5742;0,9377;0,305;0,3272;0,1244;0,1543;0,408;0,4715;0,022;0,0175;0,009;0,0265;0,0357;2,07;0,4001;0,1933;2,775;0,7994;0,2881;1,95;1,9;-1;0,9
FRANCE - LIGUE 2;2021/2022;02/04/2022;Bastia;Auxerre;1;1;2,7;2,9;2,62;2,4;D;-1;1,9;-1;0,5;-1;0,53;0,3704;0,3448;0,3817;0,4167;1,0741;0,9704;0,9034;0,8276;0,6;0;1,075;2,4037;1,7916;1;1,6;2;0,9661;1,3333;0,6038;0,6667;0,2235;0,4526;0,2451;0,3285;1,0967;0,7259;0,3905;0,2985;0,1724;0,1275;0,4416;0,4273;0,0422;0,0357;0,015;0,0507;0,0943;2,014;0,4168;0,207;2,664;0,5044;0,1893;1,95;1,9;0;0
CYPRUS - FIRST DIVISION;2021/2022;19/03/2022;Paphos;Anorthosis;2;2;2,75;2,95;2,45;2,18;D;-1;1,95;-1;0,49;-1;0,58;0,3636;0,339;0,4082;0,4587;1,0727;0,8909;0,8305;0,739;0,5;0,5;1,1785;1,1785;2,357;2,357;1,5;1,6;1,0801;1,2649;0,7201;0,7906;0,2726;0,584;0,1777;0,2106;0,652;0,3606;0,4384;0,2766;0,1532;0,0793;0,3493;0,2866;0,0773;0,0351;0,0577;0,0926;0,1501;2,193;0,657;0,2996;2,77;0,764;0,2758;2,07;1,79;0;0
ROMANIA - LIGA 1;2021/2022;18/03/2022;FC Botosani;UTA Arad;1;0;2,5;2,9;2,7;2,7;H;1,54;-1;-1;-1;0,45;0,5;0,4;0,3448;0,3704;0,3704;1,16;1,08;0,931;0,931;1;0;2,1602;1,1547;2,1602;1;1,8;0,9;1,3166;0,8756;0,7314;0,9729;0,3459;0,2216;0,3152;0,2478;0,9112;1,1185;0,3069;0,3196;0,1366;0,0978;0,4452;0,3059;0,0606;0,0741;0,0385;0,0357;0,0357;2,075;0,7163;0,3452;3,045;1,0879;0,3573;1,9;1,95;0,9;-1
POLAND - EKSTRAKLASA;2021/2022;12/03/2022;Warta Poznan;Gornik Z.;2;1;2,62;2,9;2,8;2,6;H;1,66;-1;-1;-1;0,45;0,47;0,3817;0,3448;0,3571;0,3846;1,1069;1,0687;0,9655;0,8966;-0,2;0,1;1,2293;1,1972;-6,1464;11,9722;1,1;1,5;1,1005;1,354;1,0005;0,9027;0,3152;0,5957;0,3601;0,4439;1,1426;0,7451;0,3369;0,2219;0,1458;0,1061;0,4328;0,478;0,0424;0,0507;0,0332;0,0175;0,0545;2,542;0,438;0,1723;3,252;1,3252;0,4075;1,88;1,98;0,88;-1
FRANCE - LIGUE 1;2021/2022;27/02/2022;Metz;Nantes;0;0;3,1;2,9;2,6;2,75;D;-1;1,9;-1;0,41;-1;0,53;0,3226;0,3448;0,3846;0,3636;0,9355;0,8387;0,8966;0,9483;-1;-0,3;1,6997;1,6364;-1,6997;-5,4546;0,5;1,1;0,9718;1,3703;1,9437;1,2457;0,4291;0,555;0,4452;0,5536;1,0375;0,9974;0,219;0,2422;0,1326;0,1261;0,6052;0,5205;0,0732;0,0333;0,0877;0,0545;0,0265;4,332;2,6935;0,6218;4,744;3,6952;0,7789;2,11;1,79;0;0
BOSNIA AND HERZEGOVINA - PREMIER LEAGUE;2021/2022;26/02/2022;Sloboda;Tuzla City;1;1;2,96;2,99;2,45;2,56;D;-1;1,99;-1;0,44;-1;0,58;0,3378;0,3344;0,4082;0,3906;1,0101;0,8277;0,8194;0,8562;0,4;0,2;1,075;1,3166;2,6874;6,5828;1,5;1,5;1,0801;1,354;0,7201;0,9027;0,2658;0,4769;0,2069;0,2853;0,7783;0,5983;0,4819;0,3053;0,197;0,1228;0,4089;0,4022;0,0943;0,005;0,0943;0,0993;0,0775;2,129;0,6567;0,3084;3,274;1,6598;0,507;2,09;1,74;0;0
ITALY - SERIE B;2021/2022;20/02/2022;Cittadella;Benevento;0;1;2,8;2,9;2,55;2,07;A;-1;-1;1,59;0,47;0,45;-1;0,3571;0,3448;0,3922;0,4831;1,0357;0,9107;0,8793;0,7138;0,3;0,4;1,4181;1,3499;4,7271;3,3747;1,5;1,6;1,354;1,2649;0,9027;0,7906;0,3533;0,4784;0,3057;0,3323;0,8652;0,6947;0,3612;0,2701;0,1673;0,1079;0,4632;0,3993;0,055;0,0175;0,0467;0,0642;0,167;2,099;0,3683;0,1754;2,669;0,5836;0,2187;1,98;1,88;-1;0,88
POLAND - EKSTRAKLASA;2021/2022;20/02/2022;Warta Poznan;Radomiak Radom;3;1;2,55;2,9;2,8;2,6;H;1,59;-1;-1;-1;0,45;0,47;0,3922;0,3448;0,3571;0,3846;1,1373;1,098;0,9655;0,8966;-0,6;0,5;1,075;1,2693;-1,7916;2,5386;0,8;1,6;0,9189;1,2649;1,1487;0,7906;0,208;0,6014;0,2538;0,5103;1,2199;0,8485;0,3781;0,1923;0,1176;0,0936;0,3109;0,4866;0,055;0,0642;0,0467;0,0175;0,0545;2,587;0,4614;0,1784;3,405;0,9599;0,2819;1,8;2,05;0,8;-1
SCOTLAND - LEAGUE TWO;2021/2022;15/02/2022;Stirling;Forfar Athletic;1;1;2,8;2,9;2,45;1,95;D;-1;1,9;-1;0,47;-1;0,58;0,3571;0,3448;0,4082;0,5128;1,0357;0,875;0,8448;0,6724;-0,4;0,3;2,0111;1,4944;-5,0277;4,9814;1;1,3;1,4142;1,2517;1,4142;0,9628;0,3467;0,4833;0,2724;0,4419;0,7855;0,9144;0,4044;0,3052;0,1677;0,1807;0,4147;0,5921;0,0741;0,0175;0,0667;0,0841;0,1959;2,241;0,8607;0,3841;2,48;1,1109;0,4479;2,1;1,77;0;0
FRANCE - LIGUE 2;2021/2022;15/02/2022;Grenoble;Niort;1;0;2,87;2,9;2,5;2,5;H;1,91;-1;-1;-1;0,45;0,57;0,3484;0,3448;0,4;0,4;1,0105;0,8711;0,8621;0,8621;0,4;-0,4;1,6465;2,0656;4,1164;-5,164;1,6;1,1;1,5055;1,3703;0,941;1,2457;0,4512;0,5641;0,3707;0,5477;0,8217;0,9709;0,2971;0,1539;0,1378;0,0792;0,4638;0,5143;0,0692;0,0052;0,0689;0,0741;0,0741;2,562;0,5692;0,2222;5,035;1,1842;0,2352;2,1;1,77;1,1;-1
PORTUGAL - LIGA PORTUGAL 2;2021/2022;13/02/2022;Varzim;Leixoes;1;1;2,5;2,9;2,75;2,5;D;-1;1,9;-1;0,57;-1;0,49;0,4;0,3448;0,3636;0,4;1,16;1,1;0,9483;0,8621;-0,7;-0,4;1,7029;1,1738;-2,4328;-2,9345;1,1;0,8;1,3703;1,2293;1,2457;1,5366;0,2563;0,3286;0,3339;0,3779;1,3027;1,1499;0,344;0,2082;0,1793;0,0606;0,5214;0,2912;0,062;0,0741;0,0476;0,0265;0,0741;2,395;0,4362;0,1821;4,042;1,2611;0,312;1,8;2,05;0;0
URUGUAY - PRIMERA DIVISION;2022;11/02/2022;Montevideo City;Fenix;1;2;2,6;2,9;2,62;2,15;A;-1;-1;1,66;0,53;0,45;-1;0,3846;0,3448;0,3817;0,4651;1,1154;1,0077;0,9034;0,7414;0,4;0,4;2,319;0,9661;5,7975;2,4152;1,5;1,5;1,354;1,0801;0,9027;0,7201;0,4236;0,4857;0,3425;0,6093;0,8084;1,2545;0,3679;0,2221;0,2137;0,1128;0,5808;0,508;0,0489;0,0545;0,0038;0,0507;0,1485;1,859;0,3041;0,1636;3,7056;1,5893;0,4289;1,85;1,95;-1;0,95
COLOMBIA - PRIMERA A;2022;29/01/2022;Aguilas;Once Caldas;1;1;2,87;2,9;2,75;2,5;D;-1;1,9;-1;0,46;-1;0,49;0,3484;0,3448;0,3636;0,4;1,0105;0,9582;0,9483;0,8621;0,1;-0,8;1,2867;1,4757;12,8668;-1,8447;1,2;1;1,3166;1,4142;1,0971;1,4142;0,3763;0,4731;0,2794;0,4944;0,7423;1,0451;0,3872;0,1996;0,1386;0,1047;0,358;0,5247;0,0231;0,0052;0,0214;0,0265;0,0741;2,524;0,6597;0,2614;5,2;2,103;0,4044;2,02;1,83;0;0
ROMANIA - LIGA 1;2021/2022;28/01/2022;Sepsi Sf. Gheorghe;Univ. Craiova;3;1;2,55;2,9;2,8;2,7;H;1,59;-1;-1;-1;0,45;0,47;0,3922;0,3448;0,3571;0,3704;1,1373;1,098;0,9655;0,931;0;0;1,3333;1,0541;1;1;1,1;1,2;1,1005;1,3166;1,0005;1,0971;0,1972;0,283;0,2303;0,2541;1,1679;0,8979;0,4571;0,3809;0,1915;0,1655;0,4191;0,4344;0,055;0,0642;0,0467;0,0175;0,0357;1,79;0,274;0,1531;2,216;0,7471;0,3372;1,8;2,05;0,8;-1
MEXICO - LIGA MX;2021/2022;08/01/2022;Puebla;Club America;1;1;2,8;2,9;2,75;2,5;D;-1;1,9;-1;0,47;-1;0,49;0,3571;0,3448;0,3636;0,4;1,0357;0,9821;0,9483;0,8621;0,4;-0,2;0,9661;1,1353;2,4152;-5,6765;1,8;1,3;1,3166;1,2517;0,7314;0,9628;0,4474;0,3247;0,2711;0,1805;0,606;0,5559;0,3152;0,366;0,128;0,0742;0,4062;0,2026;0,022;0,0175;0,009;0,0265;0,0741;2,51;0,5535;0,2205;2,527;0,4899;0,1938;1,93;1,93;0;0
ROMANIA - LIGA 1;2021/2022;19/12/2021;Sepsi Sf. Gheorghe;FCSB;0;0;2,45;2,9;2,87;2,7;D;-1;1,9;-1;0,58;-1;0,46;0,4082;0,3448;0,3484;0,3704;1,1837;1,1714;0,9897;0,931;0,2;0,1;1,4757;1,2867;7,3786;12,8668;1,3;1,8;1,2517;1,3166;0,9628;0,7314;0,228;0,3111;0,2214;0,416;0,9713;1,3371;0,4385;0,4398;0,1817;0,194;0,4143;0,4411;0,0791;0,0841;0,0789;0,0052;0,0357;1,698;0,1574;0,0927;2,207;0,8444;0,3826;1,77;2,1;0;0
PORTUGAL - LIGA PORTUGAL 2;2021/2022;05/12/2021;Mafra;SC Farense;0;2;2,5;2,9;2,7;2,2;A;-1;-1;1,74;0,57;0,45;-1;0,4;0,3448;0,3704;0,4545;1,16;1,08;0,931;0,7586;-0,9;-1;1,7288;1,9437;-1,9209;-1,9437;0,8;0,8;0,9189;0,9189;1,1487;1,1487;0,2248;0,3109;0,3265;0,3117;1,4523;1,0025;0,4106;0,2896;0,2515;0,1364;0,6126;0,471;0,0606;0,0741;0,0385;0,0357;0,1373;2,638;1,0689;0,4052;3,203;2,1171;0,661;1,83;1,98;-1;0,98
FRANCE - LIGUE 2;2021/2022;03/12/2021;Grenoble;Le Havre;1;2;2,55;2,9;3;2,87;A;-1;-1;2,04;0,55;0,45;-1;0,3922;0,3448;0,3333;0,3484;1,1373;1,1765;1,0345;0,9897;0,7;0,4;2,0028;0,9661;2,8611;2,4152;2,2;1,5;1,3166;1,0801;0,5984;0,7201;0,4649;0,4816;0,4001;0,4012;0,8607;0,8331;0,3217;0,2063;0,1953;0,1117;0,6072;0,5415;0,0714;0,0642;0,0811;0,0169;0,0052;2,38;0,5282;0,2219;3,83;1,985;0,5183;1,77;2,1;-1;1,1
BRAZIL - SERIE B;2021;06/11/2021;Operario;Goias;1;1;2,6;2,95;2,6;2,55;D;-1;1,95;-1;0,53;-1;0,53;0,3846;0,339;0,3846;0,3922;1,1346;1;0,8814;0,8644;0;0;1,2472;1,2472;1;1;1,4;1,4;1,4298;1,4298;1,0213;1,0213;0,3166;0,3802;0,2784;0,3175;0,8794;0,8352;0,3461;0,2934;0,1244;0,1035;0,3596;0,3526;0,0582;0,0631;0;0,0631;0,0727;2,413;0,3914;0,1622;2,811;0,6174;0,2197;2,07;1,83;0;0
